entry,Level of Study,College,Mode of Study,Sex,Location,Library Form,Score,Level of Awarenes,library utilization
student 1,Degree,COANRE,Full-Time,Male,Off-Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 2,Degree,COETEC,Full-Time,Male,Off-Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 3,Diploma,COANRE,Full-Time,Female,On-campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 4,Degree,COPAS,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 5,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 6,Degree,COETEC,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 7,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",6,Low,Rarely (1-3 times)
student 8,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 9,Degree,COETEC,Part-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 10,Degree,COPAS,Full-Time,Female,Within/ in school campus,"Digital/ Online (e-books, e-journals etc)",14,High,Rarely (1-3 times)
student 11,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Rarely (1-3 times)
student 12,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 13,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Rarely (1-3 times)
student 14,Degree,COPAS,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",8,Moderate,Rarely (1-3 times)
student 15,Degree,COPAS,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",10,Moderate,Rarely (1-3 times)
student 16,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 17,Degree,COPAS,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",4,Low,Sometimes (4-7 times)
student 18,Diploma,COHRED,Part-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",6,Low,Rarely (1-3 times)
student 19,Degree,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",12,Moderate,Sometimes (4-7 times)
student 20,Diploma,COHRED,Part-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",4,Low,Sometimes (4-7 times)
student 21,Degree,COHRED,Full-Time,Female,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",14,High,Sometimes (4-7 times)
student 22,Degree,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",14,High,Rarely (1-3 times)
student 23,Degree,COPAS,Full-Time,Female,Outside of Campus,,4,Low,Rarely (1-3 times)
student 24,Diploma,COHRED,Full-Time,Male,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Frequently (more than 7 times)
student 25,Degree,COETEC,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Rarely (1-3 times)
student 26,Degree,COHES,Full-Time,Male,Outside of Campus,"Physical/ Tangible (books, newspapers,journals)",18,High,Sometimes (4-7 times)
student 27,Degree,COHES,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",10,Moderate,Rarely (1-3 times)
student 28,Degree,COETEC,Full-Time,Female,Within/ in school campus,"Physical/ Tangible (books, newspapers,journals)",16,High,Sometimes (4-7 times)
student 29,Diploma,COHRED,Full-Time,Male,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",16,High,Rarely (1-3 times)
student 30,Diploma,COPAS,Full-Time,Female,Outside of Campus,"Digital/ Online (e-books, e-journals etc)",18,High,Rarely (1-3 times)
